Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Learning_Style
20.8,Male,High School,60000,B,96.3,High,0.8,Business,Public,High,,Yes,High,Low,Low,Positive,Low,26.0,No,7.5,Unhealthy,High,2.3,Yes,Positive,No,No,Yes,Yes,Medium,2.0,High,Auditory
18.3,Female,High School,60000,B,73.9,High,3.5,Law,Private,Medium,High,No,High,Low,Medium,Negative,,30.7,Yes,7.2,Balanced,Medium,3.2,No,Positive,Yes,No,,Yes,High,4.0,High,Auditory
18.9,Female,Graduate,30000,A,79.2,High,6.8,Engineering,Public,Medium,Medium,No,High,Low,High,Neutral,High,33.1,Yes,6.7,Healthy,Low,6.2,Yes,Positive,Yes,Yes,Yes,Yes,Medium,2.3,,Auditory
24.8,Female,Graduate,50000,B,64.5,Medium,,Law,Public,Medium,Medium,Yes,Low,High,Medium,Positive,Medium,21.7,No,7.6,Unhealthy,High,7.8,Yes,Neutral,No,Yes,No,No,Low,4.6,High,Visual
21.4,Female,,50000,B,64.2,Low,3.9,Science,Public,High,Low,No,,Low,Medium,,Low,31.4,Yes,4.7,Unhealthy,,1.6,No,Neutral,No,Yes,No,Yes,High,1.2,High,Kinesthetic
18.9,Male,Some College,Unknown,A,,High,3.9,Business,Private,,High,Yes,High,Medium,High,Neutral,,23.7,No,7.0,Balanced,High,4.9,Yes,,No,Yes,Yes,Yes,High,1.9,Low,Visual
19.4,Male,High School,50000,C,78.8,High,1.8,Engineering,Public,Medium,Medium,Yes,High,Medium,Medium,Positive,Medium,34.4,Yes,,Unhealthy,Low,0.8,No,Positive,No,Yes,Yes,Yes,Medium,0.0,Medium,Auditory
24.1,Female,High School,60000,B,79.2,Medium,4.5,Law,,Low,Low,No,Low,Medium,High,Neutral,High,25.6,Yes,4.0,Healthy,High,2.0,Yes,Neutral,No,No,No,Yes,High,0.4,High,Kinesthetic
19.5,Male,,,B,73.1,Medium,7.1,Arts,Public,Medium,Medium,Yes,Low,High,Medium,Positive,Medium,22.3,No,,Healthy,Medium,5.7,Yes,Positive,No,Yes,Yes,No,High,1.4,Low,Visual
18.6,Male,Some College,30000,C,65.5,Low,2.2,Business,Public,Medium,Low,Yes,High,Low,High,Positive,Medium,33.0,Yes,5.1,Unhealthy,High,1.4,,Negative,No,Yes,No,No,High,4.8,High,Kinesthetic
